,id,title,year
153,14105,commands_colors_ancients,2006
154,199561,sagrada,2017
155,463,magic_gathering,1993
156,254640,just_one,2018
157,239188,chronicles_crime,2018
158,223321,detective_modern_crime_board_game,2018
159,123260,suburbia,2012
160,195421,near_and_far,2017
161,31627,ticket_ride_nordic_countries,2007
162,25021,sekigahara_unification_japan,2011
163,126042,nations,2013
164,21050,combat_commander_europe,2006
165,104006,village,2011
166,146508,time_stories,2015
167,171131,captain_sonar,2016
168,91,paths_glory,1999
169,283948,marco_polo_ii_service_khan,2019
170,224037,codenames_duet,2017
171,282524,horrified,2019
172,245638,coimbra,2018
173,182631,star_realms_colony_wars,2015
174,148228,splendor,2014
175,188,go,2200
176,146886,la_granja,2014
177,215,tichu,1991
178,9209,ticket_ride,2004
179,194655,santorini,2016
180,12,ra,1999
181,296151,viscounts_west_kingdom,2020
182,822,carcassonne,2000
183,109276,kanban_drivers_edition,2014
184,176189,zombicide_black_plague,2015
185,129437,legendary_marvel_deck_building_game,2012
186,54998,cyclades,2009
187,189932,tyrants_underdark,2016
188,9216,goa,2004
189,256916,concordia_venus,2018
190,555,princes_florence,2000
191,188834,secret_hitler,2016
192,7854,yinsh,2003
193,283155,calico,2020
194,155068,arcadia_quest,2014
195,192291,sushi_go_party,2016
196,169426,roll_player,2016
197,156129,deception_murder_hong_kong,2014
198,128621,viticulture,2013
199,232832,century_golem_edition,2017
200,242302,space_base,2018
201,265188,glen_more_ii_chronicles,2019
202,31481,galaxy_trucker,2007
203,27833,steam,2009
204,421,1830_railways_robber_barons,1986
205,20551,shogun,2006
206,199478,flamme_rouge,2016
207,176494,isle_skye_chieftain_king,2015
208,198994,hero_realms,2016
209,158600,hanamikoji,2013
210,268864,undaunted_normandy,2019
211,19857,glory_rome,2005
212,140620,lewis_clark_expedition,2013
213,27708,1960_making_president,2007
214,249259,war_chest,2018
215,228341,pulsar_2849,2017
216,284378,kanban_ev,2020
217,127060,bora_bora,2013
218,155873,power_grid_deluxe_europenorth_america,2014
219,209418,dominion_second_edition,2016
220,3,samurai,1998
221,118,modern_art,1992
222,24181,imperial,2006
223,108745,seasons,2012
224,97207,dungeon_petz,2011
225,92828,dixit_odyssey,2011
226,204583,kingdomino,2016
227,154203,imperial_settlers,2014
228,241451,aeons_end_legacy,2019
229,22545,age_empires_iii_age_discovery,2007
230,144344,rococo,2013
231,181279,fury_dracula_thirdfourth_edition,2015
232,38453,space_alert,2008
233,308765,praga_caput_regni,2020
234,760,battle_line,2000
235,222509,lords_hellas,2018
236,269207,taverns_tiefenthal,2019
237,286096,tapestry,2019
238,176734,manhattan_project_energy_empire,2016
239,193037,dead_winter_long_night,2016
240,66589,navegador,2010
241,93260,summoner_wars_master_set,2011
242,203420,exit_game_abandoned_cabin,2016
243,59294,runewars,2010
244,19777,indonesia,2005
245,224783,vindication,2018
246,232405,western_legends,2018
247,283355,dune,2019
248,48726,alien_frontiers,2010
249,206718,ethnos,2017
250,54138,imperial_2030,2009
251,2655,hive,2000
252,146439,battlelore_second_edition,2013
253,13122,antiquity,2004
254,172081,burgle_bros,2015
255,160477,onitama,2014
256,271896,star_wars_outer_rim,2019
257,165722,klask,2014
258,234,hannibal_rome_vs_carthage,1996
259,139976,cthulhu_wars,2015
260,209685,century_spice_road,2017
261,187617,nemos_war_second_edition,2017
262,101721,mage_wars_arena,2012
263,271055,dwellings_eldervale,2020
